ID,Prediction
2420891.0,203.64857083482687
2631674.0,157.13694506918324
2334250.0,154.6113080693766
2954314.0,150.00424483345958
2416111.0,149.64846972067775
2100799.0,145.17954830083121
2094131.0,144.1738655941119
2265980.0,143.71196502522264
2132411.0,143.6416981753747
2167698.0,142.59721768057742
2371231.0,141.02267282761608
2537221.0,139.4571032780061
2074508.0,137.32701525332533
2537931.0,136.47938061064175
2211330.0,132.20642696254995
2347623.0,127.70009704125782
2457551.0,116.43509217870992
2354427.0,113.82351741766458
2598571.0,111.15414675116178
2555917.0,106.48287038007517
2300292.0,104.02689918302745
2863255.0,102.47445868434862
2270643.0,102.39161314949928
2576905.0,102.05713663180698
2690177.0,101.66107369733372
2525607.0,101.53608587186629
2147277.0,99.70655531404915
2795043.0,98.83380804077146
2623488.0,98.03243841885644
2787549.0,97.3810974439875
2013285.0,97.10391441315507
2525111.0,96.4012597143648
2893680.0,96.26228291401463
2182146.0,95.99009800732163
2773118.0,95.78087037770516
2408956.0,95.65918577487346
2636092.0,93.78785866047112
2666167.0,93.60670388180992
2362807.0,93.60341453316539
2071348.0,93.49483643344222
2672804.0,93.21845063545005
2948017.0,92.66562407453486
2755700.0,92.19955920263864
2606487.0,91.75995769864247
2791448.0,91.7375257406829
2286776.0,91.4982311658194
2804813.0,91.33520361177877
2104922.0,91.03103534572566
2190641.0,90.89751968228308
2543974.0,90.70293428037105
2211018.0,90.22201635490363
2360005.0,90.18319168417383
2874661.0,89.76305164820145
2977453.0,89.53959352028113
2131863.0,89.33999662953754
2202953.0,88.14249347597405
2053956.0,87.9047629284589
2159715.0,86.07790802669014
2376438.0,85.97729608866945
2424684.0,85.93802620348988
2373134.0,85.20264995339613
2459486.0,84.39436085910963
2360575.0,83.90214858424032
2396141.0,83.83802685053985
2984644.0,83.459009605808
2803046.0,83.37101712570909
2541353.0,82.72900379956403
2312246.0,82.67911476263943
2054566.0,82.16550602350198
2673100.0,81.89994117605241
2171754.0,81.75887744094366
2314158.0,81.47761055875311
2204980.0,80.93459617933169
2905744.0,80.824046069835
2823737.0,80.81858133776953
2118124.0,80.79967600827239
2109854.0,80.62414851878107
2277905.0,80.59235726625863
2607063.0,79.12355337273426
2108746.0,79.0277089194394
2789000.0,78.96963056678204
2453216.0,77.70009704010454
2336811.0,77.41109676523973
2724544.0,77.01981663587304
2689727.0,76.94898829032385
2792348.0,76.90345091169007
2482738.0,76.82251504240288
2902258.0,76.6023509444958
2495221.0,76.55152667237093
